company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
The Brandman Agency,brandmanagency.com,https://www.linkedin.com/company/the-brandman-agency,New York,United States,40,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Avfx,avfx.com,https://www.linkedin.com/company/avfx,Woburn,United States,159,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Telesia Spa,telesia.it,https://www.linkedin.com/company/telesia-spa,Roma,Italy,32,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
af&co.,afandco.com,https://www.linkedin.com/company/andrew-freeman-&-co,San Francisco,United States,304,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Nrg Experiential,madewithnrg.com,https://www.linkedin.com/company/nrg-marketing-llc,Los Angeles,United States,15,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Optimark,optimark-fr.com,https://www.linkedin.com/company/optimark,Venelles,France,361,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
All Terrain,allterrain.net,https://www.linkedin.com/company/all-terrain,Chicago,United States,320,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Society Awards,societyawards.com,https://www.linkedin.com/company/societyawards,Charlotte,United States,44,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Pinerock,pinerock.com,https://www.linkedin.com/company/pinerock,,United States,58,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Havas Street,havasstreet.com,https://www.linkedin.com/company/formula-street,El Segundo,United States,191,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Kriskadecor,kriskadecor.com,https://www.linkedin.com/company/kriskadecor,Montblanc,Spain,48,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Nobilito,nobilito.fr,https://www.linkedin.com/company/nobilito-agence,Nantes,France,29,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Whatcounts,whatcounts.com,https://www.linkedin.com/company/whatcounts,Seattle,United States,31,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Pinnacle Promotions,pinnaclepromotions.com,https://www.linkedin.com/company/pinnacle-promotions,Norcross,United States,117,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Art of Dance,artofdance.nl,https://www.linkedin.com/company/art-of-dance,Almere,Netherlands,105,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
